*  Baseline Incidence
*                                             ====    ====
   This file contains data for cohorts from:  1890 to 2100
*                                             ====    ====
*  NOTE: The range of years must be entered above.
*
*  FORMAT OF HEADER: consecutive lines: (t1,a8), (t5,i1), (t1,a12), (t1,a3)
BASAL
LAT=1
WH MALE
coh/age 00-04       05-09       10-14       15-19       20-24       25-29       30-34       35-39       40-44       45-49       50-54       55-59       60-64       65-69       70-74       75-79       80-85       85+
1890    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1895    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1900    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1905    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1910    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1915    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1920    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1925    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1930    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1935    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1940    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1945    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1950    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1955    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1960    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
1965    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
