*  DOBSON(year,month,latitude)
*
*  Lats:
*   --
     3
*   --
*
*                 -----        -----        -----
                      50           40           30
* Yr:   Mo:       -----        -----        -----
 1985   Jan       357.87       304.81       258.14
 1985   Feb       387.68       316.26       261.67
 1985   Mar       386.55       327.53       272.30
 1985   Apr       382.62       329.84       287.84
 1985   May       372.85       333.81       298.06
 1985   Jun       352.56       318.51       294.91
 1985   Jul       329.25       303.29       290.86
 1985   Aug       314.70       297.22       286.67
 1985   Sep       304.02       288.83       281.60
 1985   Oct       300.77       282.09       273.76
 1985   Nov       312.65       282.53       264.19
 1985   Dec       333.33       298.63       263.39
 1986   Jan       356.58       303.54       257.61
 1986   Feb       385.61       314.67       261.21
 1986   Mar       384.33       326.11       272.03
 1986   Apr       380.84       328.93       287.71
 1986   May       371.75       333.30       297.91
 1986   Jun       351.89       318.04       294.61
 1986   Jul       328.60       302.65       290.46
 1986   Aug       313.94       296.52       286.30
 1986   Sep       303.38       288.36       281.35
 1986   Oct       300.45       281.92       273.57
 1986   Nov       312.50       282.34       263.92
 1986   Dec       332.84       297.97       262.94
 1987   Jan       355.23       302.20       257.04
 1987   Feb       383.42       312.98       260.73
 1987   Mar       381.99       324.60       271.75
 1987   Apr       378.95       327.97       287.57
 1987   May       370.58       332.75       297.74
 1987   Jun       351.18       317.55       294.30
 1987   Jul       327.92       301.97       290.04
 1987   Aug       313.14       295.78       285.91
 1987   Sep       302.70       287.86       281.08
 1987   Oct       300.11       281.73       273.38
 1987   Nov       312.34       282.15       263.64
 1987   Dec       332.32       297.28       262.47
 1988   Jan       354.03       301.02       256.55
 1988   Feb       381.49       311.49       260.31
 1988   Mar       379.93       323.28       271.50
 1988   Apr       377.30       327.12       287.45
 1988   May       369.56       332.27       297.60
 1988   Jun       350.55       317.11       294.03
 1988   Jul       327.31       301.37       289.66
 1988   Aug       312.44       295.13       285.56
 1988   Sep       302.10       287.42       280.85
 1988   Oct       299.81       281.57       273.20
 1988   Nov       312.20       281.98       263.39
 1988   Dec       331.86       296.66       262.05
 1989   Jan       352.59       299.60       255.95
 1989   Feb       379.16       309.70       259.80
 1989   Mar       377.44       321.68       271.20
