   Measure:   >MELAINC <
   D-RType:   >    CMYR<
1890      77989.15      77989.15          0.00
1895      97545.26      97545.20          0.05
1900     110314.22     110310.85          3.37
1905     144530.25     144508.52         21.73
1910     169126.64     169043.69         82.95
1915     198791.33     198548.94        242.39
1920     240761.59     240155.86        605.73
1925     278119.72     276813.50       1306.22
1930     297069.56     294634.81       2434.75
1935     296211.56     291916.75       4294.81
1940     323871.53     315812.75       8058.78
1945     387979.88     372864.22      15115.66
1950     460501.50     434281.50      26220.00
1955     507341.59     466235.16      41106.44
1960     550710.63     490267.34      60443.28
1965     570337.56     488295.56      82042.00
1970     575221.56     471062.81     104158.75
1975     592791.75     464093.03     128698.72
1980     624367.00     467644.47     156722.53
1985     662744.06     474379.66     188364.41
1990     702112.56     479305.84     222806.72
1995     741667.06     482267.75     259399.31
2000     780910.31     483740.47     297169.84
2005     820846.13     485410.94     335435.19
2010     859962.75     486829.84     373132.91
2015     896642.38     488001.63     408640.75
2020     928472.88     488924.97     439547.91
2025     953901.50     489493.81     464407.69
2030     974202.63     489672.94     484529.69
2035     990064.81     489684.00     500380.81
2040    1002389.38     489684.44     512704.94
2045    1011500.94     489684.69     521816.25
2050    1018592.13     489684.75     528907.38
2055    1023984.06     489684.75     534299.31
2060    1027781.25     489684.75     538096.50
2065    1030392.25     489684.75     540707.50
2070    1032265.13     489684.75     542580.38
2075    1033718.94     489684.75     544034.19
2080    1034811.38     489684.75     545126.63
2085    1035526.94     489684.75     545842.19
2090    1035870.69     489684.75     546185.94
2095    1036024.19     489684.75     546339.44
2100    1036084.81     489684.75     546400.06
   Measure:   >MELAMORT<
   D-RType:   >    CMYR<
1890      10257.56      10257.56          0.00
1895      12399.11      12399.10          0.01
1900      13967.91      13967.24          0.67
1905      17078.20      17073.98          4.22
1910      20366.53      20351.07         15.46
1915      23692.14      23648.58         43.56
1920      27763.34      27658.10        105.24
1925      31510.31      31288.72        221.59
1930      33103.00      32696.77        406.23
1935      33220.29      32511.10        709.19
1940      37981.32      36672.70       1308.61
1945      46021.36      43617.51       2403.84
1950      55545.63      51456.69       4088.95
1955      62750.72      56418.05       6332.68
1960      69520.29      60278.79       9241.50
1965      73635.45      61195.66      12439.78
1970      75634.70      60067.02      15567.68
1975      78496.55      59570.70      18925.85
1980      82468.80      59832.43      22636.38
1985      87015.70      60317.61      26698.09
1990      91713.70      60703.55      31010.14
1995      96478.01      60985.54      35492.47
2000     101187.73      61155.29      40032.44
2005     105822.12      61280.71      44541.40
2010     110276.99      61366.99      48910.00
2015     114391.48      61427.74      52963.75
2020     117911.42      61469.00      56442.42
2025     120698.57      61493.58      59204.99
2030     122944.28      61503.88      61440.40
2035     124721.76      61506.97      63214.79
2040     126117.03      61507.88      64609.15
2045     127168.66      61508.39      65660.27
2050     127983.88      61508.66      66475.22
2055     128598.34      61508.67      67089.67
2060     129030.25      61508.67      67521.58
2065     129324.42      61508.67      67815.75
2070     129532.06      61508.67      68023.39
2075     129692.54      61508.67      68183.87
2080     129811.68      61508.67      68303.01
2085     129887.67      61508.67      68379.00
2090     129921.40      61508.67      68412.73
2095     129935.01      61508.67      68426.34
2100     129940.36      61508.67      68431.69
   Measure:   >BASAL   <
   D-RType:   >    CMYR<
1890    2201937.25    2201937.25          0.00
1895    2202077.25    2202075.25          2.00
1900    2210097.25    2209957.25        140.00
1905    2243873.50    2243010.50        863.00
1910    2315482.75    2312310.00       3172.75
1915    2419311.25    2410406.00       8905.25
1920    2563555.75    2542339.50      21216.25
1925    2684498.25    2640748.50      43749.75
1930    2697215.50    2617966.75      79248.75
1935    2788465.00    2649271.75     139193.25
1940    3224103.25    2967522.00     256581.25
1945    4063663.00    3588275.25     475387.75
1950    5031867.00    4221998.00     809869.00
1955    5939732.00    4679182.50    1260549.50
1960    6841178.50    4999392.50    1841786.00
1965    7546738.50    5062773.00    2483965.50
1970    8105163.00    4980027.50    3125135.50
1975    8756571.00    4942332.50    3814238.50
1980    9516885.00    4949909.00    4566976.00
1985   10356993.00    4973850.50    5383142.50
1990   11242882.00    4998081.00    6244801.00
1995   12151493.00    5017730.00    7133763.00
2000   13057047.00    5029510.00    8027537.00
2005   13945939.00    5036475.50    8909464.00
2010   14800178.00    5040007.00    9760171.00
2015   15592772.00    5042129.50   10550642.00
2020   16279928.00    5043319.00   11236609.00
